conc,n,completed,errors,elapsed_s,rps
1,80,80,0,10.796,7.410
2,80,80,0,6.612,12.099
4,80,80,0,4.909,16.298
8,80,80,0,5.598,14.291
16,80,80,0,4.591,17.427
32,80,80,0,3.821,20.938
