conc,mean,sd,min,max,n,ci
1,3.7981000000000003,0.03960765919196276,3.735,3.864,10,0.02833361253300311
2,6.2857,1.4520975671229688,2.156,6.822,10,1.0387680228102827
4,10.0975,0.07951135488441606,9.954,10.224,10,0.056878996821056745
8,12.2924,0.12760546836070788,11.988,12.467,10,0.09128345303370898
16,12.2743,0.5530909207957283,11.468,13.018,10,0.39565740983067416
32,11.5171,0.8934958123386297,10.609,12.859,10,0.6391683998281005
