conc,mean,sd,min,max,n,ci
1,6.9849000000000006,0.5892759116067785,5.7,7.588,10,0.42154259290048357
2,11.4419,1.3617361018608238,9.16,13.493,10,0.9741273245997817
4,14.315299999999999,3.150547608485441,6.34,16.827,10,2.253765989375109
8,16.4333,4.167389618614192,9.991,21.288,10,2.981170943619776
16,17.1873,3.751508942338328,12.231,22.772,10,2.6836678297787357
32,17.142400000000002,3.372004389083739,11.733,20.938,10,2.4121866267540457
