conc,n,completed,errors,elapsed_s,rps
1,80,80,0,21.418,3.735
2,80,80,0,12.008,6.662
4,80,80,0,8.259,9.686
8,80,80,0,6.651,12.029
16,80,80,0,6.308,12.682
32,80,80,0,6.933,11.540
