i,create_ms,first_exec_ms,destroy_ms,total_ms
0,1679.016,82.497,70.146,1831.660
1,206.211,81.374,66.063,353.649
2,198.466,81.086,66.003,345.556
3,212.595,80.695,66.834,360.125
4,197.934,81.972,64.984,344.891
5,202.836,79.701,71.293,353.831
6,210.931,83.509,72.944,367.385
7,198.882,83.683,68.624,351.190
8,197.610,84.799,67.528,349.939
9,201.491,82.372,70.969,354.833
10,205.865,82.237,68.322,356.426
11,209.854,81.415,65.968,357.239
12,204.140,82.078,67.532,353.750
13,199.885,80.539,66.062,346.486
14,191.007,80.219,69.401,340.629
15,207.589,84.169,65.528,357.288
16,202.938,80.516,62.972,346.427
17,204.105,78.551,67.598,350.255
18,201.162,84.615,62.619,348.398
19,201.463,79.520,63.703,344.687
20,207.133,81.617,65.184,353.934
21,212.282,85.347,62.118,359.748
22,202.055,82.761,69.495,354.312
23,212.813,83.381,65.579,361.774
24,208.282,80.435,66.084,354.802
25,200.232,83.576,66.468,350.277
26,208.695,83.869,67.186,359.751
27,200.910,81.553,70.483,352.946
28,202.817,87.865,66.044,356.727
29,205.807,80.383,66.638,352.830
30,189.963,81.608,65.808,337.380
31,202.944,81.510,66.133,350.587
32,204.209,80.688,62.051,346.949
33,205.079,81.503,70.001,356.583
34,198.601,83.004,69.180,350.786
35,203.112,82.229,65.913,351.255
36,202.092,81.669,67.546,351.308
37,205.045,81.501,66.396,352.942
38,196.307,80.885,67.619,344.811
39,196.168,80.064,66.126,342.359
40,211.395,81.343,64.475,357.213
41,189.609,80.095,69.174,338.878
42,212.522,83.642,71.070,367.234
43,204.649,82.429,63.587,350.666
44,202.094,83.527,63.817,349.438
45,197.970,82.360,60.156,340.487
46,199.484,84.861,66.221,350.567
47,193.256,81.318,63.925,338.499
48,196.763,85.345,68.251,350.360
49,212.790,81.107,63.970,357.868
50,189.674,81.690,69.141,340.506
51,209.614,82.094,63.255,354.964
52,197.016,84.967,61.755,343.740
53,196.396,82.188,67.241,345.825
54,198.078,80.889,65.072,344.040
55,201.759,81.148,65.213,348.122
56,203.872,81.561,70.901,356.335
57,203.788,80.234,62.761,346.784
58,198.922,80.502,66.169,345.594
59,194.544,81.431,69.782,345.758
60,201.409,81.491,64.034,346.935
61,201.995,81.789,67.542,351.326
62,203.895,83.411,64.464,351.771
63,197.816,80.758,66.039,344.614
64,199.268,83.457,68.816,351.541
65,192.394,81.153,68.524,342.072
66,202.643,81.866,72.209,356.719
67,200.012,81.663,69.940,351.617
68,204.099,84.725,63.515,352.339
69,202.814,79.751,68.207,350.773
70,194.636,80.915,66.374,341.927
71,195.100,83.307,68.470,346.877
72,201.013,83.087,67.379,351.481
73,195.937,81.711,62.626,340.275
74,196.489,80.482,61.165,338.137
75,197.773,81.705,65.877,345.356
76,194.027,81.641,64.354,340.022
77,195.817,81.674,66.655,344.147
78,199.408,81.086,63.126,343.621
79,197.888,82.304,66.140,346.333
80,200.043,81.256,66.152,347.451
81,197.260,81.562,65.881,344.703
82,200.204,84.589,62.600,347.394
83,201.815,81.941,66.495,350.251
84,193.601,81.022,67.920,342.543
85,199.124,83.569,69.425,352.119
86,202.379,81.645,64.831,348.855
87,194.141,81.628,61.721,337.491
88,200.321,80.422,65.934,346.678
89,197.655,81.559,60.718,339.933
90,202.976,83.199,63.444,349.620
91,195.462,80.114,64.712,340.289
92,203.073,83.356,68.966,355.396
93,197.362,81.325,67.780,346.468
94,197.717,82.988,68.416,349.122
95,210.919,83.358,67.190,361.468
96,194.071,81.272,64.010,339.354
97,197.117,84.386,68.962,350.465
98,209.031,82.828,65.472,357.332
99,197.736,81.815,66.449,346.002
100,205.014,81.007,71.480,357.502
101,202.498,80.948,66.381,349.827
102,203.229,80.574,65.354,349.158
103,211.786,80.270,67.237,359.293
104,191.466,81.413,65.917,338.797
105,206.553,81.552,69.410,357.517
106,198.345,84.963,67.349,350.658
107,201.245,84.742,64.838,350.826
108,200.986,81.178,71.343,353.508
109,206.373,82.366,66.518,355.258
110,201.650,80.898,69.170,351.719
111,197.050,84.547,70.461,352.059
112,211.625,81.744,71.263,364.633
113,195.531,83.261,71.002,349.796
114,200.571,83.254,66.967,350.792
115,202.877,82.127,66.138,351.143
116,198.136,81.570,63.630,343.336
117,206.860,81.735,71.243,359.839
118,203.772,81.525,63.676,348.973
119,199.871,84.052,64.845,348.769
120,201.238,81.807,66.154,349.201
121,196.454,82.445,64.591,343.492
122,194.445,81.221,70.538,346.205
123,207.806,82.704,64.567,355.078
124,199.686,81.697,70.525,351.909
125,206.375,80.557,67.469,354.402
126,203.694,83.005,61.095,347.795
127,198.248,80.006,68.648,346.903
128,195.348,80.797,67.795,343.940
129,208.740,82.330,64.007,355.078
130,195.948,80.690,73.066,349.705
131,205.058,86.405,63.705,355.168
132,200.933,84.971,68.961,354.866
133,201.359,82.899,68.354,352.613
134,197.395,83.317,65.062,345.776
135,201.560,84.074,67.605,353.241
136,193.259,82.590,68.720,344.570
137,207.062,81.390,67.325,355.778
138,204.027,81.863,69.352,355.243
139,205.691,83.451,71.282,360.425
140,202.245,83.303,70.395,355.944
141,205.868,83.675,64.612,354.156
142,201.910,81.359,67.322,350.591
143,212.419,81.851,66.243,360.513
144,203.051,83.261,69.453,355.766
145,208.446,80.892,65.554,354.893
146,199.590,80.497,73.699,353.786
147,220.361,88.244,70.468,379.075
148,201.745,83.439,70.378,355.563
149,219.575,82.376,71.572,373.524
150,197.034,83.344,65.193,345.572
151,210.348,81.930,65.857,358.136
152,195.066,81.839,68.913,345.820
153,196.592,83.198,66.533,346.324
154,211.124,81.054,72.915,365.094
155,207.656,83.576,72.423,363.655
156,219.726,82.430,67.406,369.563
157,209.008,83.584,75.385,367.978
158,211.104,83.927,70.380,365.411
159,203.138,83.587,70.835,357.561
160,211.096,82.038,63.567,356.702
161,198.781,84.461,71.574,354.817
162,202.859,86.266,68.786,357.912
163,215.475,81.643,65.427,362.547
164,204.871,82.587,70.499,357.958
165,198.406,80.798,71.860,351.065
166,201.600,81.951,71.083,354.635
167,201.326,83.842,63.423,348.591
168,207.010,81.815,65.530,354.356
169,204.334,81.321,64.913,350.569
170,196.520,83.796,65.270,345.586
171,212.965,83.039,67.311,363.316
172,203.329,81.492,65.309,350.130
173,203.323,83.048,66.511,352.883
174,203.426,80.843,68.160,352.430
175,198.900,82.119,71.019,352.038
176,205.487,82.046,66.229,353.764
177,206.176,82.527,66.565,355.269
178,208.336,82.508,65.911,356.756
179,207.896,82.845,66.244,356.986
180,202.704,83.765,67.067,353.537
181,208.960,82.895,71.721,363.576
182,200.048,83.539,68.271,351.860
183,207.434,82.404,65.062,354.901
184,206.872,84.738,69.360,360.971
185,216.148,81.954,64.257,362.359
186,208.942,83.056,71.002,363.001
187,205.571,82.466,70.926,358.964
188,216.662,84.612,68.376,369.650
189,205.747,82.969,72.819,361.536
190,203.285,81.962,65.508,350.756
191,207.732,81.285,66.271,355.289
192,196.801,81.871,68.716,347.389
