conc,n,completed,errors,elapsed_s,rps
1,80,80,0,21.027,3.805
2,80,80,0,11.861,6.745
4,80,80,0,7.939,10.077
8,80,80,0,6.522,12.267
16,80,80,0,6.787,11.787
32,80,80,0,7.541,10.609
