conc,n,completed,errors,elapsed_s,rps
1,80,80,0,23.752,3.368
2,80,80,0,13.809,5.793
4,80,80,0,9.591,8.341
8,80,80,0,8.607,9.295
16,80,80,0,8.373,9.554
32,80,80,0,8.582,9.322
