i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,80.484,48.838,30.036,159.359,0
1,75.053,53.318,32.131,160.504,0
2,87.437,46.228,65.620,199.286,0
3,73.030,44.689,34.639,152.359,0
4,66.648,41.026,25.964,133.639,0
5,67.918,45.692,23.824,137.436,0
6,64.567,42.983,30.289,137.839,0
7,70.408,42.587,26.669,139.665,0
8,75.704,42.092,31.052,148.849,0
9,75.131,47.685,26.494,149.310,0
10,77.241,46.574,27.044,150.860,0
11,67.939,43.139,29.197,140.277,0
12,339.887,45.357,29.306,414.551,0
13,99.844,46.590,26.309,172.743,0
14,69.654,48.415,42.895,160.965,0
15,110.553,67.910,67.132,245.595,0
16,125.854,92.964,42.712,261.531,0
17,97.309,44.297,28.247,169.853,0
18,77.482,50.034,28.158,155.674,0
19,72.958,56.536,32.039,161.534,0
20,66.487,42.528,32.801,141.817,0
21,79.664,46.710,27.364,153.738,0
22,119.148,150.343,167.810,437.302,0
23,203.544,54.815,37.368,295.728,0
24,144.980,55.123,41.925,242.029,0
25,112.467,49.535,41.045,203.047,0
26,121.207,59.827,38.854,219.889,0
27,361.538,227.092,85.269,673.899,0
28,143.227,82.709,36.436,262.373,0
29,82.090,42.890,25.675,150.656,0
30,72.397,49.105,32.124,153.627,0
31,77.807,43.947,29.232,150.988,0
32,64.080,41.544,25.927,131.552,0
33,66.116,48.192,28.321,142.629,0
34,74.178,56.716,29.043,159.938,0
35,72.453,45.454,29.821,147.729,0
36,70.014,43.509,26.719,140.243,0
37,66.232,42.882,29.421,138.536,0
38,63.342,42.603,26.397,132.342,0
39,64.345,40.267,27.814,132.426,0
40,65.764,45.804,36.343,147.912,0
41,87.568,48.891,34.420,170.880,0
42,77.131,42.329,25.782,145.243,0
43,68.337,43.566,26.622,138.527,0
44,72.551,43.809,24.946,141.307,0
45,66.420,43.520,26.683,136.624,0
46,63.194,46.718,28.082,137.995,0
47,64.536,45.675,27.896,138.108,0
48,72.012,64.974,32.198,169.184,0
49,73.468,40.296,25.056,138.822,0
50,79.352,43.824,27.401,150.577,0
51,64.603,48.828,41.796,155.228,0
52,80.272,43.991,30.026,154.291,0
53,80.327,46.114,50.217,176.659,0
54,325.709,48.132,34.515,408.356,0
55,74.276,51.102,31.392,156.771,0
56,85.498,50.635,46.696,182.830,0
57,111.188,51.680,35.608,198.476,0
58,94.988,45.569,27.633,168.191,0
59,99.916,48.681,28.400,176.998,0
60,68.770,43.507,31.398,143.676,0
61,68.279,44.982,30.371,143.633,0
62,110.385,55.286,32.575,198.247,0
63,74.487,47.404,26.591,148.483,0
64,73.270,43.963,27.554,144.788,0
65,154.788,68.691,54.706,278.186,0
66,79.141,43.642,27.307,150.092,0
67,65.799,44.913,26.599,137.312,0
68,73.102,45.980,25.995,145.077,0
