conc,n,completed,errors,elapsed_s,rps
1,80,80,0,10.543,7.588
2,80,80,0,5.929,13.493
4,80,80,0,4.754,16.827
8,80,80,0,4.172,19.175
16,80,80,0,4.385,18.244
32,80,80,0,4.469,17.900
