i,create_ms,first_exec_ms,destroy_ms,total_ms
162,174.869,76.348,60.006,311.223
163,177.547,76.209,56.541,310.297
164,172.561,78.207,60.579,311.348
165,176.382,78.783,55.651,310.817
166,171.132,80.488,56.033,307.655
167,182.418,78.056,59.519,319.994
168,169.946,75.987,55.793,301.727
169,172.711,77.613,59.548,309.873
170,175.243,77.578,57.497,310.318
171,183.500,78.143,55.503,317.148
172,176.373,76.953,53.440,306.767
173,172.271,76.832,59.716,308.820
174,184.463,77.312,54.929,316.705
175,177.278,78.975,59.384,315.638
176,173.404,77.186,57.397,307.988
177,173.139,77.425,64.364,314.929
178,172.971,77.603,61.515,312.090
179,171.899,78.196,60.275,310.372
180,185.687,80.549,58.256,324.492
181,181.336,78.486,60.470,320.293
182,177.769,78.828,55.710,312.308
183,174.417,75.350,59.330,309.098
184,187.744,78.008,62.422,328.175
185,179.895,78.483,58.348,316.727
186,173.830,80.807,56.967,311.605
187,179.519,77.522,59.411,316.453
188,170.786,76.243,59.165,306.195
189,167.817,80.122,56.805,304.744
190,177.455,78.511,64.455,320.423
191,173.617,76.408,59.861,309.888
192,184.378,76.856,59.098,320.333
193,174.402,76.659,58.497,309.559
194,177.194,80.981,61.009,319.186
195,174.104,78.322,55.206,307.633
196,181.653,78.758,62.854,323.266
197,176.685,78.238,53.084,308.009
198,175.820,76.291,60.317,312.429
199,174.677,75.962,55.789,306.430
