conc,n,completed,errors,elapsed_s,rps
1,80,80,0,18.437,4.339
2,80,80,0,9.576,8.354
4,80,80,0,5.242,15.260
8,80,80,0,5.085,15.734
16,80,80,0,6.362,12.574
32,80,80,0,6.816,11.737
