i,create_ms,first_exec_ms,destroy_ms,total_ms
0,196.049,82.336,67.889,346.275
1,192.685,88.412,71.181,352.278
2,201.582,86.729,66.608,354.920
3,215.251,82.899,68.583,366.734
4,196.834,82.263,68.917,348.015
5,195.264,83.970,68.020,347.255
6,190.451,83.477,65.309,339.238
7,205.019,82.476,64.991,352.488
8,193.718,82.531,66.680,342.930
9,200.703,82.876,68.404,351.983
10,197.925,87.361,67.742,353.029
11,199.233,85.298,68.271,352.804
12,194.482,82.408,64.622,341.513
13,196.049,84.888,69.242,350.181
14,200.602,83.038,63.313,346.954
15,204.277,83.567,66.650,354.495
16,196.510,81.600,65.201,343.312
17,195.316,86.603,65.750,347.671
18,194.219,84.062,71.238,349.520
19,198.598,80.606,67.942,347.147
20,200.263,86.260,64.254,350.778
21,198.911,83.681,62.774,345.367
22,200.465,84.191,61.067,345.724
23,191.528,89.869,64.793,346.192
24,195.357,84.864,65.858,346.080
25,198.365,85.548,69.545,353.459
26,192.968,83.294,64.019,340.282
27,195.173,83.137,62.442,340.753
28,193.898,83.637,61.028,338.564
29,189.482,82.765,63.212,335.460
30,195.079,84.445,63.783,343.308
31,199.117,81.717,67.087,347.922
32,197.096,85.222,68.355,350.675
33,206.309,85.305,60.982,352.597
34,187.774,81.600,68.022,337.398
35,208.705,87.896,63.209,359.811
36,207.538,80.797,69.782,358.118
37,207.577,87.218,65.356,360.152
38,195.727,80.648,60.334,336.710
39,196.435,82.203,66.506,345.144
40,208.175,87.681,75.583,371.441
41,211.860,83.960,67.687,363.508
42,198.138,82.691,66.200,347.030
43,195.721,82.671,68.656,347.048
44,203.162,85.553,68.475,357.191
45,202.647,81.437,68.201,352.286
46,191.166,84.177,64.886,340.230
47,207.737,83.140,62.138,353.016
48,198.711,83.130,67.125,348.968
49,192.307,85.082,66.470,343.860
50,203.880,83.915,69.738,357.534
51,192.861,83.832,65.149,341.843
52,197.121,84.551,70.027,351.700
53,199.917,84.490,67.658,352.066
54,205.438,83.334,70.277,359.049
55,196.158,82.796,68.990,347.945
56,198.306,89.030,66.033,353.370
57,193.155,83.709,69.837,346.701
58,198.462,82.652,64.805,345.920
59,193.592,84.297,71.318,349.208
60,196.773,83.670,60.703,341.147
61,191.456,84.311,67.619,343.387
62,206.497,81.383,63.260,351.141
63,200.242,80.552,63.335,344.130
64,196.878,84.560,68.819,350.259
65,195.871,83.820,67.750,347.442
66,201.649,81.518,67.712,350.880
67,195.461,81.595,63.176,340.233
68,191.372,86.520,64.589,342.482
69,191.593,81.914,63.154,336.663
70,197.984,81.317,60.339,339.642
71,201.095,81.258,67.231,349.586
72,185.022,83.302,64.991,333.316
73,196.881,81.207,68.987,347.075
74,191.902,83.017,64.122,339.042
75,193.955,87.052,67.858,348.865
76,197.965,81.335,61.066,340.367
77,194.911,82.801,65.921,343.634
