conc,n,completed,errors,elapsed_s,rps
1,80,80,0,17.982,4.449
2,80,80,0,9.468,8.449
4,80,80,0,5.270,15.179
8,80,80,0,6.765,11.825
16,80,80,0,7.460,10.723
32,80,80,0,7.263,11.015
