conc,n,completed,errors,elapsed_s,rps
1,80,80,0,20.706,3.864
2,80,80,0,11.742,6.813
4,80,80,0,7.937,10.079
8,80,80,0,6.536,12.239
16,80,80,0,6.581,12.156
32,80,80,0,7.377,10.844
