i,rss_mib,cpu_pct
0,1.53,0.01
1,0.84,0.01
2,1.48,0.00
3,1.92,0.00
4,1.14,0.00
5,0.72,0.00
6,1.08,0.00
7,1.61,0.01
8,1.16,0.00
9,1.56,0.01
10,1.30,0.00
11,0.74,0.00
12,1.10,0.00
13,1.64,0.00
14,1.59,0.00
15,0.64,0.01
16,1.59,0.01
17,1.05,0.01
18,1.06,0.00
19,1.39,0.01
20,1.31,0.01
21,1.41,0.00
22,1.33,0.00
23,1.62,0.00
24,1.30,0.01
25,1.11,0.00
26,0.70,0.00
27,1.39,0.00
28,1.63,0.00
29,0.89,0.01
