conc,n,completed,errors,elapsed_s,rps
1,80,80,0,11.173,7.160
2,80,80,0,6.813,11.742
4,80,80,0,6.892,11.607
8,80,80,0,4.680,17.094
16,80,80,0,4.912,16.286
32,80,80,0,5.174,15.463
