conc,n,completed,errors,elapsed_s,rps
1,80,80,0,18.508,4.322
2,80,80,0,10.031,7.976
4,80,80,0,5.772,13.859
8,80,80,0,5.717,13.993
16,80,80,0,6.765,11.825
32,80,80,0,6.747,11.857
