i,rss_mib,cpu_pct
0,0.59,0.00
1,0.71,0.00
2,0.62,0.00
3,0.72,0.00
4,0.68,0.00
5,0.52,0.00
6,0.57,0.00
7,0.57,0.00
8,0.45,0.00
9,0.45,0.00
