conc,n,completed,errors,elapsed_s,rps
1,80,80,0,21.293,3.757
2,80,80,0,12.005,6.664
4,80,80,0,7.825,10.224
8,80,80,0,6.487,12.332
16,80,80,0,6.976,11.468
32,80,80,0,7.416,10.788
