i,rss_mib,cpu_pct
0,0.95,0.00
1,1.31,0.01
2,0.46,0.00
3,0.94,0.00
4,0.45,0.00
5,1.34,0.00
6,1.33,0.00
7,1.33,0.00
8,0.95,0.00
9,1.32,0.00
10,0.80,0.00
11,1.01,0.01
12,1.36,0.00
13,0.50,0.00
14,1.15,0.00
15,1.24,0.00
16,1.60,0.00
17,1.35,0.00
18,1.44,0.00
19,1.38,0.00
20,1.11,0.00
21,0.53,0.00
22,1.84,0.00
23,1.20,0.00
24,0.45,0.01
25,1.62,0.00
26,0.88,0.00
27,1.56,0.00
28,1.08,0.00
29,1.30,0.00
