i,create_ms,first_exec_ms,destroy_ms,total_ms
0,226.587,104.584,74.234,405.406
1,214.191,102.096,78.612,394.900
2,223.204,98.464,79.931,401.600
3,216.117,110.216,76.674,403.008
4,218.092,100.932,75.187,394.211
5,222.818,100.846,73.200,396.865
6,214.483,99.838,82.650,396.973
7,216.885,97.476,83.170,397.532
8,221.381,129.789,76.820,427.991
9,220.533,100.214,78.224,398.972
10,234.724,107.350,77.656,419.730
11,252.068,104.446,76.681,433.195
12,212.581,112.572,80.197,405.350
13,230.522,105.183,80.316,416.022
14,218.709,102.265,80.048,401.022
15,229.059,103.453,76.550,409.063
16,217.141,103.632,80.781,401.554
17,219.458,103.101,79.261,401.821
18,244.469,120.038,78.967,443.475
19,229.698,103.597,78.948,412.245
20,240.305,101.427,78.904,420.638
21,210.831,102.876,79.033,392.741
22,220.228,97.285,77.081,394.595
23,224.574,101.669,88.236,414.480
24,214.154,99.234,88.435,401.824
25,230.242,108.349,77.309,415.900
26,225.923,126.339,78.927,431.191
27,228.577,103.431,84.608,416.617
28,224.525,107.988,81.349,413.863
29,224.359,100.675,92.374,417.409
30,229.686,102.428,87.636,419.752
31,218.623,107.523,82.277,408.424
32,228.615,100.034,73.404,402.054
33,236.358,103.647,77.071,417.077
34,220.236,120.095,76.182,416.514
35,220.045,104.650,80.452,405.148
36,223.300,108.168,78.592,410.061
37,222.972,129.872,76.092,428.937
38,243.696,106.480,85.713,435.891
39,227.360,102.027,81.183,410.571
40,224.928,104.763,88.537,418.228
41,224.159,99.909,86.048,410.117
42,261.975,105.530,79.714,447.220
43,228.952,98.031,79.563,406.546
44,224.346,101.886,80.105,406.338
45,228.482,111.211,80.544,420.237
46,232.636,103.348,83.489,419.474
47,219.792,104.312,79.248,403.354
48,234.067,105.397,81.343,420.808
49,226.709,103.790,79.693,410.194
50,242.460,105.138,91.507,439.105
51,219.183,106.882,76.667,402.733
52,228.556,103.888,78.453,410.898
53,231.881,102.365,87.833,422.081
54,236.651,102.841,82.315,421.808
55,221.066,103.755,82.966,407.789
56,230.916,101.938,78.126,410.981
57,222.698,102.520,80.619,405.837
58,228.297,104.753,81.015,414.065
59,248.116,105.867,82.794,436.777
60,219.963,105.958,79.449,405.371
61,220.771,111.554,77.469,409.796
62,222.183,107.729,88.583,418.495
63,235.844,100.613,80.461,416.919
64,215.337,103.749,76.488,395.575
65,208.961,106.805,73.673,389.440
66,214.582,108.142,76.330,399.056
67,215.516,100.759,80.486,396.762
68,222.089,100.484,73.866,396.441
69,211.181,110.495,77.755,399.432
70,216.722,95.432,79.775,391.930
71,223.385,105.614,79.024,408.024
72,215.976,102.783,75.141,393.900
73,234.661,103.810,82.536,421.008
74,214.629,99.877,70.652,385.159
75,221.230,104.607,80.686,406.525
76,221.862,98.634,81.808,402.305
77,211.370,102.600,76.823,390.795
78,216.484,102.187,83.357,402.029
79,212.132,96.914,80.490,389.537
80,228.100,97.156,78.911,404.167
81,218.163,97.888,79.375,395.428
82,216.182,103.095,80.134,399.412
83,222.403,97.650,77.049,397.102
84,219.084,99.674,75.311,394.070
85,244.318,98.456,79.921,422.696
86,221.251,99.255,79.329,399.836
87,212.476,105.764,73.167,391.408
88,222.817,103.675,78.597,405.090
89,223.319,101.953,79.968,405.240
90,216.991,99.243,77.187,393.423
91,228.774,123.224,72.715,424.715
92,219.282,106.727,74.794,400.804
93,218.488,111.154,90.230,419.874
94,220.808,100.650,82.002,403.461
95,214.471,102.359,76.668,393.499
96,220.310,119.832,80.991,421.133
97,213.487,97.968,81.050,392.506
98,220.930,98.584,74.525,394.041
99,221.229,98.295,89.277,408.802
100,221.335,100.607,84.203,406.146
101,217.083,103.217,75.143,395.443
102,235.739,105.157,88.285,429.182
103,216.330,105.267,75.620,397.219
104,227.337,113.989,81.112,422.440
105,215.643,106.585,75.432,397.661
106,227.579,108.366,79.816,415.761
107,221.450,105.344,76.238,403.033
108,229.531,101.882,73.230,404.644
109,249.539,99.689,75.053,424.282
110,223.290,107.105,82.256,412.651
111,222.644,106.460,75.460,404.565
112,227.389,100.807,84.332,412.529
113,217.732,98.705,74.862,391.301
114,222.807,99.409,71.562,393.780
115,212.577,105.512,83.535,401.625
116,229.781,118.539,73.597,421.918
117,218.299,119.887,84.125,422.312
118,223.569,121.423,78.200,423.193
119,214.213,104.040,82.621,400.875
120,223.094,105.119,82.203,410.416
