i,rss_mib,cpu_pct
0,2.70,0.01
1,2.70,0.01
2,2.70,0.01
3,2.70,0.01
4,2.70,0.01
5,2.70,0.01
6,2.70,0.00
7,2.70,0.01
8,2.70,0.01
9,2.70,0.01
