conc,n,completed,errors,elapsed_s,rps
1,80,80,0,14.035,5.700
2,80,80,0,7.042,11.360
4,80,80,0,5.502,14.541
8,80,80,0,3.914,20.441
16,80,80,0,6.541,12.231
32,80,80,0,6.819,11.733
