conc,n,completed,errors,elapsed_s,rps
1,80,80,0,11.107,7.202
2,80,80,0,6.328,12.643
4,80,80,0,4.914,16.278
8,80,80,0,4.489,17.821
16,80,80,0,4.779,16.741
32,80,80,0,3.956,20.225
