conc,n,completed,errors,elapsed_s,rps
1,80,80,0,21.172,3.779
2,80,80,0,11.878,6.735
4,80,80,0,7.931,10.087
8,80,80,0,6.491,12.325
16,80,80,0,6.826,11.720
32,80,80,0,7.377,10.844
