conc,n,completed,errors,elapsed_s,rps
1,80,80,0,24.123,3.316
2,80,80,0,13.922,5.746
4,80,80,0,9.825,8.142
8,80,80,0,8.593,9.309
16,80,80,0,8.428,9.493
32,80,80,0,8.768,9.124
