conc,n,completed,errors,elapsed_s,rps
1,40,40,0,10.525,3.801
2,40,40,0,6.298,6.351
4,40,40,0,4.583,8.728
8,40,40,0,4.174,9.583
16,40,40,0,3.908,10.235
32,40,40,0,4.162,9.611
