conc,n,completed,errors,elapsed_s,rps
1,80,80,0,21.086,3.794
2,80,80,0,11.838,6.758
4,80,80,0,7.858,10.181
8,80,80,0,6.417,12.467
16,80,80,0,6.471,12.363
32,80,80,0,7.209,11.098
