i,rss_mib,cpu_pct
0,0.69,0.01
1,1.02,0.00
2,0.66,0.00
3,0.57,0.01
4,0.45,0.00
5,1.09,0.01
6,0.48,0.00
7,1.05,0.00
8,0.94,0.00
9,0.84,0.00
10,1.09,0.01
11,0.74,0.01
12,0.87,0.00
13,1.07,0.00
14,0.52,0.01
15,0.65,0.00
16,0.77,0.01
17,0.93,0.00
18,1.00,0.01
19,0.73,0.00
20,1.06,0.00
21,0.79,0.01
22,0.63,0.01
23,0.45,0.01
24,1.00,0.01
25,0.45,0.00
26,0.80,0.00
27,1.05,0.00
28,0.82,0.00
29,1.12,0.00
