i,create_ms,first_exec_ms,destroy_ms,total_ms
0,198.468,82.533,69.722,350.724
1,190.114,83.164,60.224,333.503
2,188.333,86.253,59.849,334.436
3,188.338,86.502,66.216,341.057
4,204.612,83.561,61.319,349.493
5,201.010,81.296,63.641,345.948
6,188.738,82.672,62.485,333.895
7,197.078,81.871,63.367,342.317
8,195.326,83.564,64.347,343.238
9,195.106,83.243,65.235,343.585
10,192.589,82.478,65.064,340.132
11,191.514,83.142,61.697,336.354
12,193.274,84.603,67.891,345.770
13,189.927,84.283,71.855,346.067
14,189.948,84.470,64.875,339.294
15,198.086,82.717,69.793,350.596
16,205.254,83.610,62.961,351.826
17,195.991,82.674,64.792,343.458
18,196.780,82.000,65.204,343.985
19,184.547,80.251,66.672,331.471
20,193.203,82.216,67.793,343.212
21,193.537,82.395,61.768,337.701
22,200.846,82.157,64.686,347.691
23,187.771,82.767,66.228,336.767
24,201.203,81.403,62.370,344.977
25,187.967,85.952,68.651,342.571
26,194.468,84.659,67.657,346.785
27,203.605,84.353,62.312,350.271
28,193.378,82.723,63.779,339.881
29,198.921,82.688,67.099,348.709
30,205.915,83.679,64.917,354.512
31,203.295,83.876,63.515,350.687
32,195.978,85.671,67.763,349.413
33,200.992,85.292,62.958,349.244
34,202.341,79.464,62.877,344.683
35,204.864,83.766,66.112,354.742
36,205.228,81.346,64.499,351.073
37,193.411,81.197,64.680,339.289
38,205.521,83.730,62.139,351.391
39,209.792,83.394,64.720,357.907
40,187.956,84.744,65.868,338.569
41,198.606,79.977,69.016,347.599
42,191.516,81.349,61.343,334.210
43,199.436,82.321,67.284,349.042
44,195.654,79.326,66.654,341.635
45,197.093,82.540,65.032,344.665
46,195.708,83.039,67.403,346.151
47,204.556,83.824,62.339,350.719
48,189.234,81.811,60.905,331.951
49,191.936,81.531,68.058,341.526
50,202.689,83.487,64.540,350.716
51,192.105,84.997,61.227,338.330
52,182.955,84.999,67.199,335.153
53,204.131,82.068,68.573,354.773
54,202.990,84.714,62.830,350.534
55,191.952,84.822,66.051,342.826
56,197.479,81.639,62.694,341.813
57,197.953,83.023,61.400,342.377
58,194.745,85.490,67.351,347.588
59,213.395,80.082,65.431,358.909
60,196.493,85.120,65.000,346.614
61,197.738,85.310,68.614,351.663
62,205.663,78.893,63.382,347.939
63,197.098,85.835,65.568,348.502
64,190.373,83.775,61.162,335.312
65,191.222,84.784,64.534,340.540
66,187.508,86.373,67.539,341.421
67,194.032,81.340,64.607,339.981
68,202.701,84.111,62.280,349.092
69,187.920,83.117,65.454,336.493
70,198.775,82.984,68.288,350.048
71,186.120,85.697,65.254,337.072
72,191.976,82.862,68.253,343.092
73,189.395,81.663,63.418,334.477
74,190.105,84.442,67.103,341.651
75,196.294,84.996,63.030,344.321
76,196.434,81.378,60.133,337.947
77,186.039,84.507,62.837,333.384
78,193.659,86.060,62.902,342.621
79,196.945,80.768,66.457,344.172
80,195.103,84.656,64.776,344.536
81,191.440,80.794,63.238,335.473
82,196.827,84.690,63.622,345.139
83,196.473,86.024,62.718,345.215
84,190.914,83.538,62.114,336.567
85,199.362,83.879,63.484,346.727
86,187.303,83.315,69.542,340.161
87,195.290,81.919,68.403,345.614
88,197.260,83.300,61.415,341.976
89,194.208,80.388,61.575,336.171
90,195.454,82.620,69.609,347.683
91,208.533,82.541,68.029,359.103
92,196.092,85.601,64.616,346.310
93,197.548,82.083,75.106,354.739
94,196.514,83.275,67.138,346.929
95,192.950,83.788,67.999,344.738
96,201.908,81.590,64.239,347.739
97,200.818,82.291,67.360,350.471
98,194.422,85.208,66.537,346.169
99,187.225,81.180,72.610,341.016
100,189.263,82.349,67.617,339.230
101,201.896,85.025,66.268,353.190
102,192.820,83.594,68.166,344.582
103,202.895,84.492,65.736,353.124
104,195.634,82.542,68.871,347.048
105,198.168,80.451,71.323,349.944
106,199.329,81.406,64.146,344.882
107,191.991,85.944,65.650,343.587
108,207.088,80.715,69.189,356.992
109,189.910,82.493,72.797,345.201
110,194.501,85.919,61.527,341.947
111,201.943,82.789,69.362,354.095
112,191.204,83.152,69.067,343.424
113,197.564,83.606,61.979,343.150
114,196.277,80.797,71.730,348.806
115,193.396,83.318,67.110,343.825
116,197.274,83.585,62.582,343.441
117,197.448,82.818,62.625,342.892
118,196.023,81.541,59.556,337.121
119,196.463,83.291,64.868,344.622
120,197.116,82.236,65.627,344.980
121,204.499,81.475,61.690,347.665
122,207.018,80.855,68.040,355.914
123,204.094,88.117,65.979,358.191
124,195.790,82.792,66.079,344.662
125,193.213,82.624,64.233,340.071
126,189.970,84.173,66.095,340.238
127,196.307,80.469,66.196,342.972
128,203.912,82.119,67.628,353.660
129,195.510,81.877,68.333,345.721
130,204.745,81.993,67.169,353.908
131,194.722,83.816,67.534,346.073
132,201.664,82.062,62.678,346.404
133,186.778,84.855,66.734,338.369
134,202.388,82.923,65.380,350.693
135,193.503,85.402,64.395,343.302
136,199.459,86.161,69.597,355.218
137,190.790,82.896,61.502,335.188
138,192.218,83.826,64.496,340.541
139,194.466,85.904,67.876,348.247
140,192.890,82.132,60.555,335.578
141,205.473,80.289,64.976,350.739
142,192.331,84.841,61.757,338.930
143,203.586,84.013,66.328,353.929
144,189.367,81.782,62.291,333.440
145,195.451,83.271,62.259,340.982
146,199.135,82.857,66.468,348.462
147,203.077,85.118,68.741,356.937
148,190.106,83.606,67.121,340.834
149,204.349,83.317,66.461,354.128
150,192.810,86.085,65.523,344.418
151,199.692,80.356,64.317,344.367
152,197.430,83.959,63.814,345.204
153,199.264,86.007,65.484,350.757
154,196.662,81.860,71.986,350.509
155,195.130,84.119,62.232,341.483
156,194.384,83.072,68.249,345.706
157,206.407,81.704,65.817,353.929
