conc,n,completed,errors,elapsed_s,rps
1,80,80,0,35.039,2.283
2,80,80,0,18.244,4.385
4,80,80,0,12.418,6.442
8,80,80,0,8.155,9.810
16,80,80,0,9.309,8.594
32,80,80,0,34.107,2.346
