i,rss_mib,cpu_pct
0,0.38,0.01
1,0.38,0.02
2,0.38,0.02
3,0.39,0.01
4,0.38,0.02
5,0.38,0.02
6,0.38,0.01
7,0.39,0.05
8,0.38,0.02
9,0.39,0.02
10,0.38,0.04
11,0.39,0.01
12,0.38,0.04
13,0.39,0.15
16,0.39,2.19
17,0.38,0.01
18,0.39,0.01
19,0.39,0.04
