conc,n,completed,errors,elapsed_s,rps
1,12,12,0,31.346,0.383
2,12,12,0,16.515,0.727
4,12,12,0,11.353,1.057
8,12,12,0,10.736,1.118
16,12,12,0,10.610,1.131
32,12,12,0,10.370,1.157
