conc,n,completed,errors,elapsed_s,rps
1,80,80,0,21.009,3.808
2,80,80,0,11.726,6.822
4,80,80,0,7.867,10.169
8,80,80,0,6.492,12.324
16,80,80,0,6.145,13.018
32,80,80,0,6.221,12.859
