conc,n,completed,errors,elapsed_s,rps
1,80,80,0,10.911,7.332
2,80,80,0,8.734,9.160
4,80,80,0,5.242,15.262
8,80,80,0,3.758,21.288
16,80,80,0,3.513,22.772
32,80,80,0,3.886,20.586
