i,create_ms,first_exec_ms,destroy_ms,total_ms
0,200.250,89.047,70.703,360.000
1,207.703,90.116,63.568,361.389
2,210.129,83.576,64.460,358.166
3,197.970,84.129,70.239,352.339
4,196.266,85.956,66.104,348.327
5,196.921,83.946,66.805,347.673
6,202.361,83.190,68.579,354.131
7,202.214,83.053,65.382,350.649
8,203.545,88.501,66.927,358.974
9,196.359,82.834,69.067,348.260
10,215.544,83.800,68.335,367.679
11,192.955,84.982,67.411,345.349
12,208.448,84.752,68.705,361.905
13,202.582,83.281,66.867,352.731
14,195.732,86.158,68.963,350.854
15,201.207,87.992,63.731,352.930
16,204.039,83.283,61.548,348.871
17,193.794,88.770,69.773,352.338
18,194.817,87.634,71.408,353.860
19,202.794,85.614,66.341,354.750
20,200.884,82.448,69.805,353.138
21,197.542,83.130,65.725,346.398
22,206.564,88.629,64.242,359.437
23,200.145,85.385,62.293,347.824
24,207.902,83.751,65.014,356.668
25,215.807,83.411,69.402,368.621
26,198.175,82.390,67.062,347.628
27,199.000,84.840,64.305,348.146
28,201.743,83.185,71.025,355.954
29,190.225,82.770,63.914,336.910
30,198.070,84.223,64.418,346.712
31,196.892,84.387,68.712,349.992
32,207.832,81.610,71.407,360.850
33,203.104,83.675,60.998,347.778
34,193.006,81.499,62.950,337.457
35,195.914,83.884,67.189,346.987
36,207.206,83.586,64.525,355.318
37,195.608,84.295,65.137,345.041
38,190.110,84.753,67.550,342.415
39,200.101,82.883,65.353,348.337
40,209.906,83.644,68.669,362.220
41,201.567,83.541,63.004,348.113
42,203.507,87.409,66.617,357.534
43,202.798,84.811,68.840,356.451
44,205.492,83.091,60.786,349.370
45,200.498,84.414,63.589,348.502
46,199.949,83.213,65.873,349.036
47,220.333,85.560,63.764,369.659
48,206.140,85.339,69.841,361.322
49,196.533,86.337,65.866,348.737
50,211.918,84.553,64.000,360.473
51,200.617,87.730,68.642,356.990
52,193.594,89.536,66.258,349.390
53,207.454,84.468,63.511,355.434
54,197.257,82.182,71.439,350.878
55,210.919,87.090,66.177,364.187
56,200.282,85.936,62.969,349.188
57,209.678,84.358,61.751,355.788
58,197.657,87.553,64.400,349.612
59,193.685,87.491,67.385,348.562
60,197.827,84.075,68.895,350.797
61,201.168,82.231,65.181,348.581
62,207.786,84.586,65.934,358.308
63,202.633,82.080,62.541,347.256
