i,create_ms,first_exec_ms,destroy_ms,total_ms,exit_code
0,160.648,82.743,68.379,311.771,0
1,153.765,82.653,63.059,299.478,0
2,147.859,84.686,65.910,298.455,0
3,162.109,79.579,63.956,305.645,0
4,150.468,85.272,65.639,301.379,0
5,161.094,80.679,68.891,310.665,0
6,170.719,80.059,65.459,316.238,0
7,156.964,85.046,65.438,307.449,0
8,152.085,81.383,68.218,301.687,0
9,150.831,83.598,67.603,302.033,0
10,151.487,85.118,63.165,299.771,0
11,148.974,79.920,67.648,296.543,0
12,150.530,78.349,69.635,298.516,0
13,163.930,81.574,66.678,312.183,0
14,149.863,81.836,63.641,295.340,0
15,164.243,79.525,67.027,310.795,0
16,163.341,84.490,66.505,314.337,0
17,159.026,82.824,69.677,311.528,0
18,163.314,78.526,64.407,306.248,0
19,158.218,83.199,65.460,306.878,0
20,157.174,82.405,65.442,305.021,0
21,152.223,77.899,65.953,296.076,0
22,149.607,81.401,65.143,296.152,0
23,154.741,84.343,63.254,302.339,0
24,153.581,81.091,66.288,300.961,0
25,149.711,84.764,68.004,302.481,0
26,152.184,83.891,66.760,302.836,0
27,162.597,81.549,67.070,311.217,0
28,162.296,83.878,64.869,311.044,0
29,159.274,80.153,70.279,309.707,0
30,158.830,81.649,66.759,307.239,0
31,159.765,83.366,66.285,309.416,0
32,151.728,82.611,66.405,300.745,0
33,151.471,85.305,64.587,301.363,0
34,153.215,85.400,62.691,301.306,0
35,156.095,79.420,67.654,303.170,0
36,157.176,81.823,70.031,309.031,0
37,155.661,85.184,67.223,308.069,0
38,154.460,80.940,68.211,303.612,0
39,161.826,81.736,69.221,312.784,0
40,154.585,82.794,65.002,302.381,0
41,154.393,79.384,64.148,297.926,0
42,157.528,81.263,70.272,309.064,0
43,169.283,84.091,71.154,324.528,0
44,150.042,79.318,68.019,297.380,0
45,157.412,81.971,69.166,308.551,0
46,154.165,82.213,64.254,300.634,0
47,150.414,81.417,68.532,300.364,0
48,156.422,80.442,69.299,306.163,0
49,159.573,82.974,64.510,307.057,0
50,154.757,84.031,60.919,299.708,0
51,148.151,84.861,66.161,299.174,0
52,169.895,86.386,65.821,322.102,0
53,154.456,80.920,68.460,303.837,0
54,157.702,84.064,67.476,309.244,0
55,156.263,82.660,72.482,311.406,0
56,151.587,78.710,69.423,299.721,0
57,152.952,82.331,67.629,302.913,0
58,166.009,85.228,65.074,316.313,0
59,162.978,79.794,68.033,310.806,0
60,161.086,82.078,65.642,308.807,0
61,150.779,79.710,68.959,299.449,0
62,160.780,79.655,65.364,305.800,0
63,151.912,81.242,65.880,299.035,0
64,157.355,84.381,74.107,315.845,0
65,158.642,81.279,67.036,306.958,0
66,149.165,81.194,64.344,294.704,0
67,160.431,79.608,69.016,309.056,0
68,157.572,79.913,66.734,304.220,0
69,154.523,84.927,68.280,307.730,0
70,150.840,80.078,66.630,297.550,0
71,153.713,79.686,69.753,303.152,0
72,165.106,79.892,66.924,311.923,0
73,170.513,80.271,65.867,316.652,0
74,156.221,79.967,68.495,304.684,0
75,161.357,83.749,61.211,306.318,0
76,161.575,78.846,67.643,308.065,0
77,157.074,78.183,67.975,303.233,0
78,158.339,80.012,71.343,309.694,0
79,156.458,79.572,70.312,306.343,0
80,159.319,78.869,63.982,302.171,0
81,153.490,81.317,62.133,296.941,0
82,155.093,79.875,63.466,298.436,0
83,160.612,81.035,68.419,310.068,0
84,152.478,79.897,63.238,295.614,0
85,157.560,79.686,62.150,299.396,0
86,150.501,79.855,62.441,292.798,0
87,155.235,84.055,68.773,308.064,0
88,158.325,79.319,66.225,303.870,0
89,155.540,81.001,61.105,297.646,0
90,149.838,78.676,68.602,297.117,0
91,147.200,79.843,66.641,293.684,0
92,151.885,80.998,65.970,298.854,0
93,154.726,80.590,66.821,302.138,0
94,165.082,81.492,68.362,314.937,0
95,160.155,82.542,64.942,307.640,0
96,146.440,80.678,65.396,292.515,0
97,152.733,78.757,64.811,296.303,0
98,161.381,79.674,67.528,308.585,0
99,153.813,80.471,66.984,301.270,0
100,158.815,79.256,67.874,305.945,0
101,149.968,82.402,66.303,298.673,0
102,165.627,81.226,66.238,313.092,0
103,150.120,82.321,66.490,298.932,0
104,158.113,79.404,66.036,303.554,0
105,158.437,79.813,68.955,307.206,0
106,164.683,79.150,66.220,310.055,0
107,164.859,80.755,62.882,308.497,0
108,158.625,80.498,67.409,306.532,0
109,151.913,77.922,68.487,298.323,0
110,152.707,79.986,66.803,299.497,0
111,156.684,78.978,69.264,304.927,0
112,151.590,80.018,66.262,297.871,0
113,154.953,78.710,60.587,294.251,0
114,153.254,79.852,62.315,295.422,0
115,152.058,83.663,68.250,303.972,0
116,155.736,77.755,65.169,298.660,0
117,150.270,82.429,63.007,295.707,0
118,159.197,82.629,60.963,302.790,0
119,160.852,80.248,64.061,305.163,0
120,156.616,78.174,63.223,298.013,0
121,162.469,78.465,72.407,313.341,0
122,155.375,80.538,61.769,297.683,0
123,153.388,80.667,66.510,300.566,0
124,153.705,80.678,63.945,298.329,0
125,154.022,79.709,59.988,293.721,0
126,151.022,80.276,62.300,293.599,0
127,150.965,78.369,63.794,293.128,0
128,148.482,79.986,63.225,291.694,0
129,151.835,77.706,65.777,295.320,0
130,160.782,79.473,59.529,299.786,0
131,157.176,78.652,65.915,301.744,0
132,148.260,79.991,64.023,292.274,0
133,148.971,78.518,62.469,289.958,0
134,151.781,77.425,68.531,297.739,0
135,167.755,77.756,62.276,307.788,0
136,152.876,81.233,66.694,300.805,0
137,153.747,81.294,69.493,304.535,0
138,158.032,81.023,64.987,304.043,0
139,155.838,79.861,67.937,303.638,0
140,157.568,78.791,66.816,303.175,0
141,155.181,83.123,64.113,302.417,0
142,146.263,79.610,68.254,294.129,0
143,155.661,80.279,65.354,301.296,0
144,156.717,78.707,62.659,298.084,0
145,158.194,78.007,64.267,300.469,0
146,154.652,78.304,67.999,300.956,0
147,152.035,81.786,68.720,302.543,0
148,155.505,82.144,62.036,299.686,0
149,165.859,79.062,62.918,307.840,0
150,151.594,80.094,62.818,294.507,0
151,169.554,82.349,61.925,313.830,0
152,161.721,80.966,62.988,305.676,0
153,158.293,78.890,69.244,306.428,0
154,152.145,79.831,66.913,298.889,0
155,155.463,79.034,64.813,299.311,0
156,155.295,79.294,66.813,301.402,0
157,156.429,79.611,64.812,300.853,0
158,161.781,78.318,67.426,307.526,0
159,146.623,82.194,67.770,296.587,0
160,156.464,79.435,67.909,303.809,0
161,171.761,80.036,66.726,318.524,0
162,157.725,79.951,63.390,301.067,0
163,153.788,79.960,64.931,298.680,0
164,154.564,81.358,64.792,300.715,0
165,153.319,80.218,67.023,300.561,0
166,148.708,80.554,63.432,292.695,0
167,161.449,80.846,64.527,306.824,0
168,154.823,78.894,62.947,296.665,0
169,149.759,79.508,64.378,293.646,0
170,161.976,80.963,69.049,311.989,0
171,166.631,78.785,69.497,314.914,0
172,162.878,79.050,62.079,304.008,0
173,150.622,78.303,67.700,296.626,0
174,158.596,80.068,67.421,306.087,0
175,148.372,80.215,64.051,292.639,0
176,155.379,81.784,68.674,305.838,0
177,152.012,81.271,65.976,299.261,0
178,158.926,79.672,67.485,306.084,0
179,154.398,81.245,62.063,297.707,0
180,157.756,81.245,65.915,304.917,0
181,160.777,80.767,65.564,307.109,0
182,155.965,80.631,68.379,304.976,0
183,156.958,79.645,64.995,301.599,0
184,157.285,79.879,68.466,305.631,0
185,151.226,78.192,67.997,297.417,0
186,162.614,80.830,65.174,308.619,0
187,158.641,81.597,64.466,304.705,0
188,153.190,80.824,64.374,298.389,0
189,157.163,82.400,69.506,309.070,0
190,148.400,82.602,67.576,298.579,0
191,154.911,82.983,60.932,298.827,0
192,160.594,80.549,64.343,305.488,0
193,149.909,79.412,65.986,295.308,0
194,162.080,80.323,62.447,304.851,0
195,165.319,80.571,65.518,311.410,0
196,151.904,78.583,64.770,295.259,0
197,167.175,78.763,67.306,313.245,0
198,153.204,77.975,63.766,294.947,0
199,151.928,78.631,74.797,305.357,0
