i,rss_mib,cpu_pct
0,2.73,0.01
1,2.70,0.01
2,2.70,0.01
3,2.95,0.01
4,2.73,0.01
5,2.70,0.01
6,2.70,0.01
7,2.70,0.01
8,2.70,0.01
9,2.72,0.01
