conc,n,completed,errors,elapsed_s,rps
1,80,80,0,21.311,3.754
2,80,80,0,12.039,6.645
4,80,80,0,7.882,10.150
8,80,80,0,6.557,12.201
16,80,80,0,6.672,11.990
32,80,80,0,7.372,10.853
