conc,n,completed,errors,elapsed_s,rps
1,80,80,0,10.932,7.318
2,80,80,0,8.330,9.603
4,80,80,0,12.618,6.340
8,80,80,0,5.700,14.036
16,80,80,0,6.416,12.469
32,80,80,0,6.406,12.488
