i,create_ms,first_exec_ms,destroy_ms,total_ms
0,1543.830,83.162,73.368,1700.361
1,196.051,80.994,63.834,340.879
2,194.991,81.738,62.399,339.129
3,194.587,82.894,61.792,339.274
4,198.214,82.926,61.515,342.656
5,199.104,80.847,62.658,342.609
6,200.148,83.638,60.178,343.965
7,189.967,80.154,67.819,337.942
8,203.863,84.575,67.995,356.433
9,197.018,81.199,66.083,344.301
10,195.240,82.628,62.017,339.886
11,191.599,81.710,66.716,340.027
12,196.578,80.097,60.245,336.922
13,187.781,81.766,66.189,335.738
14,197.478,80.697,66.699,344.874
15,192.824,81.125,66.536,340.486
16,198.679,82.730,75.021,356.431
17,197.408,82.627,67.781,347.817
18,201.091,80.541,63.554,345.187
19,187.348,81.208,66.603,335.160
20,192.916,85.076,62.377,340.371
21,201.454,82.237,64.608,348.300
22,201.704,82.633,67.244,351.582
23,193.855,83.471,62.460,339.787
24,195.845,84.382,65.263,345.491
25,183.505,82.293,67.395,333.194
26,196.983,81.341,64.069,342.395
27,195.961,81.688,69.513,347.164
28,200.836,82.619,67.846,351.302
29,211.505,81.861,61.121,354.488
30,196.012,79.558,68.935,344.506
31,193.479,81.225,65.767,340.473
32,196.079,87.065,65.351,348.495
33,197.033,82.221,67.357,346.612
34,199.740,81.985,67.132,348.858
35,201.749,82.872,63.436,348.058
36,199.446,82.551,63.282,345.280
37,196.882,80.503,67.991,345.377
38,199.466,80.413,67.494,347.374
39,192.067,80.898,66.857,339.822
40,200.077,80.953,67.613,348.644
41,192.120,81.393,64.456,337.970
42,204.554,80.725,63.247,348.527
43,201.393,79.176,66.539,347.109
44,205.371,82.963,62.722,351.057
45,200.913,83.192,67.553,351.659
46,204.341,81.846,69.527,355.715
47,204.601,82.096,64.649,351.347
48,196.614,83.541,69.435,349.590
49,199.614,81.032,65.640,346.287
50,203.332,80.525,68.547,352.405
51,196.541,81.233,62.541,340.316
52,192.104,81.339,64.562,338.006
53,196.563,82.497,66.969,346.030
54,199.002,83.622,73.598,356.223
55,189.429,81.815,65.146,336.392
56,196.858,82.338,69.220,348.417
57,192.130,81.666,62.104,335.901
58,201.268,81.504,66.548,349.320
59,193.286,81.258,61.360,335.905
60,195.987,80.640,60.756,337.384
61,196.604,82.781,63.467,342.853
62,192.494,83.130,67.239,342.865
63,190.035,81.389,62.633,334.057
64,197.477,84.278,63.464,345.221
65,203.442,81.120,69.423,353.986
66,194.461,80.565,62.383,337.410
67,201.754,81.747,67.220,350.722
68,192.772,82.536,60.962,336.272
69,195.137,82.784,63.932,341.855
70,197.930,82.490,66.314,346.735
71,200.668,81.270,67.449,349.388
72,201.177,82.552,65.578,349.308
73,193.890,82.440,62.579,338.909
74,194.458,82.416,64.812,341.687
75,194.795,84.413,69.468,348.677
76,201.137,80.977,62.973,345.088
77,196.746,79.192,64.672,340.611
78,194.073,81.853,65.902,341.829
79,203.880,83.156,70.002,357.039
80,196.134,80.331,65.252,341.718
81,193.580,82.055,68.514,344.150
82,193.441,82.497,65.819,341.758
83,193.660,81.753,66.370,341.784
84,198.002,83.062,67.951,349.016
85,194.921,84.842,63.565,343.329
86,192.628,84.163,70.398,347.191
87,198.427,82.541,68.115,349.084
88,201.096,83.235,67.493,351.824
89,189.128,83.887,67.708,340.724
90,203.752,85.232,69.037,358.022
91,190.317,84.733,61.415,336.466
92,190.238,81.317,60.340,331.897
93,188.951,82.597,59.371,330.919
94,190.028,80.626,61.961,332.616
95,202.105,86.661,62.716,351.483
96,194.365,79.708,67.261,341.335
97,197.268,83.982,67.616,348.867
98,192.130,83.301,65.395,340.827
99,197.960,84.542,71.280,353.782
100,195.220,79.992,64.726,339.940
101,197.003,80.042,70.247,347.293
102,190.315,83.246,64.287,337.849
103,193.982,83.177,67.131,344.292
104,192.450,85.624,61.794,339.869
105,198.082,82.319,64.023,344.425
106,196.720,80.535,61.280,338.536
107,201.587,85.910,68.178,355.676
108,203.040,81.268,68.439,352.748
109,193.529,83.834,64.731,342.094
110,192.446,82.867,62.998,338.312
111,196.490,81.937,63.360,341.788
112,190.661,80.438,59.059,330.159
113,191.377,82.632,64.091,338.101
114,197.589,81.349,61.404,340.343
115,194.043,81.305,70.367,345.717
116,200.185,81.429,63.135,344.749
117,200.133,82.765,63.939,346.838
118,191.163,82.000,66.792,339.956
119,195.525,83.897,61.533,340.956
120,203.418,80.907,61.222,345.548
121,193.066,81.036,67.016,341.120
122,194.637,80.967,63.622,339.227
123,187.744,81.070,61.459,330.273
124,197.870,82.689,60.788,341.348
125,197.754,83.315,68.570,349.639
126,188.209,82.143,62.932,333.284
127,190.286,82.200,62.150,334.637
128,195.310,80.177,59.420,334.907
129,194.553,81.096,64.292,339.943
130,198.792,82.856,65.646,347.295
131,194.065,79.735,67.708,341.510
132,198.328,81.450,67.362,347.141
133,197.949,80.706,58.845,337.502
134,196.063,82.737,65.864,344.664
135,198.768,82.897,60.486,342.152
136,191.174,82.018,68.088,341.281
137,197.442,80.721,63.576,341.740
138,193.495,80.093,65.838,339.427
139,200.665,79.851,68.887,349.404
140,198.390,83.326,70.390,352.107
141,202.128,82.535,65.056,349.721
142,194.742,81.634,62.219,338.596
143,192.764,82.178,64.545,339.487
144,195.844,82.254,67.759,345.858
145,197.169,82.677,63.360,343.206
146,194.966,81.540,67.374,343.881
147,194.939,84.133,66.470,345.544
148,188.836,81.959,64.307,335.103
149,187.462,82.445,62.893,332.801
150,199.849,80.647,67.588,348.086
151,194.617,81.265,62.342,338.225
152,200.489,82.839,64.418,347.746
153,194.124,80.920,61.939,336.984
154,199.142,79.754,65.050,343.947
155,200.193,80.174,66.030,346.398
156,198.371,81.826,62.854,343.052
157,199.224,80.956,63.109,343.289
158,198.814,83.308,68.714,350.837
159,197.121,80.309,66.549,343.980
160,192.216,79.629,63.353,335.200
161,195.353,81.751,61.535,338.640
162,191.059,81.317,69.351,341.728
163,201.479,80.209,62.620,344.309
164,191.353,82.219,61.300,334.872
165,197.505,83.657,64.716,345.879
166,194.892,82.727,63.803,341.424
167,194.748,81.056,71.853,347.658
168,197.902,84.240,63.575,345.719
169,195.731,79.354,61.481,336.567
170,199.212,79.974,67.629,346.816
171,192.808,80.809,61.364,334.982
172,197.719,81.285,61.963,340.969
173,191.287,85.693,65.563,342.544
174,188.870,81.433,67.738,338.042
175,198.004,83.549,60.811,342.365
176,192.891,81.065,71.434,345.391
177,192.822,81.756,64.890,339.470
178,193.577,80.833,63.278,337.689
179,194.618,80.615,64.492,339.726
180,195.553,82.821,68.952,347.327
181,196.534,81.593,61.191,339.319
182,187.798,82.271,60.290,330.360
183,201.518,83.754,60.969,346.241
