i,create_ms,first_exec_ms,destroy_ms,total_ms
0,203.750,84.781,66.192,354.723
1,204.989,83.175,69.518,357.684
2,193.449,84.367,67.644,345.461
3,202.635,81.659,65.985,350.280
4,196.086,82.258,66.542,344.887
5,196.921,86.085,68.158,351.165
6,199.220,86.620,70.585,356.425
7,202.126,80.327,70.313,352.768
8,186.776,84.990,68.701,340.468
9,218.841,85.571,59.078,363.492
10,200.942,85.320,64.240,350.502
11,202.648,81.971,67.571,352.191
12,195.310,89.492,70.030,354.834
13,196.909,86.016,68.178,351.104
14,196.674,84.564,68.889,350.129
15,199.812,82.378,59.551,341.742
16,201.155,82.545,76.410,360.111
17,195.959,84.287,63.598,343.846
18,199.945,83.819,64.878,348.643
19,197.749,88.701,71.349,357.800
20,197.494,84.299,66.214,348.008
21,205.844,83.613,69.623,359.080
22,200.626,82.946,64.396,347.969
23,207.375,80.653,70.100,358.129
24,198.637,85.448,71.616,355.703
25,201.561,87.151,63.609,352.322
26,197.491,80.767,66.443,344.702
27,197.948,85.897,64.374,348.220
28,202.190,82.779,68.129,353.099
29,218.319,85.036,71.613,374.968
30,195.768,85.454,66.025,347.248
31,199.620,84.028,68.652,352.300
32,188.705,81.356,65.926,335.987
33,196.665,82.880,67.800,347.345
34,199.328,85.650,67.741,352.719
35,192.929,84.363,70.559,347.852
36,193.335,85.431,72.891,351.658
37,211.999,81.813,63.356,357.169
38,201.850,83.926,63.516,349.293
39,202.444,85.968,69.825,358.239
40,198.355,85.239,69.406,353.001
41,198.331,83.071,70.518,351.921
42,195.193,87.100,73.655,355.949
43,203.380,82.824,70.113,356.318
44,197.695,84.476,70.569,352.742
45,204.285,82.942,67.498,354.726
46,203.130,84.123,71.482,358.736
47,198.216,84.209,64.686,347.112
48,193.653,82.005,68.696,344.354
49,209.803,81.593,63.500,354.897
50,191.743,82.488,64.464,338.696
51,200.465,83.683,64.197,348.347
52,193.301,88.694,65.870,347.866
53,192.937,84.656,66.212,343.806
54,199.203,83.906,64.459,347.569
55,195.833,84.678,65.423,345.935
56,196.257,83.863,67.082,347.203
57,196.634,84.434,65.219,346.288
58,196.996,82.386,65.469,344.851
59,207.720,81.824,60.853,350.398
60,197.628,83.927,60.956,342.512
61,197.642,81.108,63.941,342.692
62,198.906,82.800,69.639,351.346
63,199.650,82.832,67.614,350.097
64,201.172,83.550,69.029,353.751
65,193.682,86.399,73.179,353.261
66,199.279,82.134,68.787,350.200
67,200.257,87.705,67.609,355.571
68,208.299,86.632,73.424,368.356
69,211.743,86.430,69.483,367.657
70,206.295,85.923,65.818,358.037
71,208.453,81.753,69.102,359.309
72,200.384,83.471,62.970,346.826
73,194.244,83.906,62.987,341.138
74,201.748,86.024,66.466,354.239
75,198.577,84.284,64.195,347.057
76,189.290,83.184,68.146,340.621
77,206.213,82.200,61.851,350.265
78,193.418,81.435,67.483,342.337
79,205.163,83.709,64.549,353.422
80,199.004,85.293,70.621,354.919
81,201.355,81.963,62.200,345.519
82,189.763,88.854,65.641,344.260
83,200.627,84.563,65.914,351.105
84,198.248,81.738,70.772,350.759
85,200.111,82.881,65.402,348.395
86,214.178,108.665,73.486,396.330
87,207.832,85.687,66.104,359.625
88,205.935,83.892,66.580,356.407
89,189.026,83.146,70.461,342.634
90,216.312,83.404,73.330,373.047
91,197.038,82.283,66.769,346.092
92,194.188,81.904,64.773,340.866
93,205.862,86.472,65.081,357.416
94,193.965,86.067,69.623,349.656
95,195.552,86.278,63.673,345.504
96,192.890,85.321,69.675,347.886
97,200.763,84.399,67.370,352.533
98,195.972,84.763,68.798,349.534
99,202.045,81.015,68.035,351.096
100,203.270,86.201,65.214,354.687
101,193.953,80.246,62.236,336.436
102,193.429,84.468,69.125,347.023
103,197.314,83.758,63.631,344.703
104,199.139,82.592,68.126,349.859
105,205.352,83.570,63.448,352.372
106,194.515,84.320,71.713,350.549
107,195.575,82.129,68.905,346.610
108,195.997,80.754,66.802,343.554
109,195.741,82.868,69.125,347.735
110,213.674,84.091,67.837,365.603
111,201.318,81.571,67.041,349.930
112,197.759,84.017,70.216,351.993
113,194.510,84.654,68.688,347.854
114,201.782,84.590,67.727,354.100
115,196.824,81.595,68.222,346.642
116,196.361,82.542,69.854,348.758
117,205.464,80.652,66.258,352.375
118,196.930,81.621,66.301,344.853
119,197.469,81.190,63.801,342.461
120,188.696,81.069,69.999,339.764
121,208.886,82.019,64.669,355.575
122,191.374,83.968,71.211,346.554
123,205.707,82.087,67.911,355.706
124,201.330,83.944,68.152,353.427
125,195.975,83.745,62.389,342.110
126,196.991,81.911,65.611,344.515
127,199.648,90.200,67.377,357.226
128,200.709,86.084,65.483,352.277
129,205.474,82.811,67.731,356.017
130,196.128,83.237,66.522,345.887
131,214.106,87.807,65.298,367.212
132,193.290,83.035,69.790,346.116
133,190.692,87.279,70.710,348.682
134,205.584,81.372,65.246,352.203
135,191.819,85.025,67.788,344.632
136,199.817,82.657,71.874,354.348
137,201.629,81.423,69.333,352.386
138,208.301,84.389,67.829,360.520
139,194.546,85.676,66.149,346.372
140,193.067,85.057,68.276,346.401
141,191.290,85.098,67.487,343.875
142,207.703,80.792,68.283,356.779
143,200.600,83.502,68.611,352.714
144,194.251,88.431,67.187,349.869
145,203.532,82.787,60.602,346.922
146,191.911,83.534,66.257,341.703
147,196.904,82.559,66.645,346.110
148,198.701,82.945,66.126,347.772
149,196.649,82.930,65.602,345.182
150,196.163,81.311,61.697,339.172
151,200.973,80.533,68.570,350.077
152,207.161,81.878,66.926,355.965
153,197.258,84.258,65.768,347.285
154,194.578,82.105,65.023,341.707
155,206.705,80.677,68.485,355.868
156,191.029,84.424,66.983,342.436
157,196.665,84.354,66.404,347.425
158,208.314,83.873,69.261,361.450
159,194.752,82.010,67.493,344.256
160,210.931,82.111,65.672,358.715
161,199.819,83.054,67.573,350.447
162,199.541,81.490,68.724,349.756
163,202.392,81.880,70.881,355.155
164,196.949,83.594,70.907,351.451
165,194.055,84.425,65.998,344.479
166,198.572,85.852,72.112,356.537
167,198.606,85.331,61.984,345.921
168,207.114,83.643,69.003,359.762
169,197.357,83.900,64.303,345.561
170,195.268,86.699,69.229,351.197
171,205.133,85.869,63.342,354.344
172,197.841,80.182,67.221,345.245
173,204.731,85.163,69.670,359.565
174,214.375,87.098,70.030,371.505
175,200.140,84.199,69.090,353.430
176,194.874,85.570,68.199,348.644
177,191.503,81.462,63.883,336.849
178,196.270,84.019,66.407,346.696
179,197.028,89.160,66.488,352.678
180,196.117,85.575,65.289,346.981
181,197.369,84.055,66.781,348.206
182,202.410,84.417,65.871,352.698
183,198.368,82.880,64.532,345.781
184,197.905,81.563,63.370,342.839
185,203.066,83.715,59.387,346.169
186,200.932,86.216,64.038,351.187
187,194.490,83.882,65.842,344.215
188,206.274,84.468,68.250,358.993
189,199.521,85.831,64.151,349.504
190,198.946,80.464,72.392,351.803
191,199.532,82.085,64.984,346.601
192,205.505,85.877,68.777,360.160
193,199.468,81.724,68.071,349.264
194,205.254,85.097,68.830,359.181
195,198.439,87.986,63.499,349.926
196,216.440,83.107,66.225,365.774
197,199.309,84.749,61.341,345.400
198,197.358,84.178,69.253,350.790
199,195.780,80.530,61.638,337.949
