conc,n,completed,errors,elapsed_s,rps
1,80,80,0,21.202,3.773
2,80,80,0,11.873,6.738
4,80,80,0,7.921,10.100
8,80,80,0,6.513,12.284
16,80,80,0,6.708,11.926
32,80,80,0,6.988,11.448
