conc,n,completed,errors,elapsed_s,rps
1,80,80,0,21.507,3.720
2,80,80,0,12.148,6.585
4,80,80,0,8.107,9.868
8,80,80,0,6.662,12.008
16,80,80,0,6.229,12.842
32,80,80,0,6.890,11.612
