conc,n,completed,errors,elapsed_s,rps
1,80,80,0,24.209,3.305
2,80,80,0,13.867,5.769
4,80,80,0,9.862,8.112
8,80,80,0,8.642,9.257
16,80,80,0,8.509,9.402
32,80,80,0,8.572,9.333
