conc,n,completed,errors,elapsed_s,rps
1,80,80,0,20.958,3.817
2,80,80,0,37.102,2.156
4,80,80,0,7.991,10.012
8,80,80,0,6.442,12.419
16,80,80,0,6.175,12.955
32,80,80,0,6.282,12.735
