i,create_ms,first_exec_ms,destroy_ms,total_ms
0,7286.002,243.424,299.011,7828.438
1,7228.520,223.972,319.824,7772.316
2,7291.878,212.012,310.227,7814.118
3,7265.496,240.706,309.073,7815.276
4,7276.928,216.389,307.302,7800.620
5,7234.483,213.982,317.213,7765.679
6,7263.779,216.816,342.575,7823.171
7,7284.071,218.770,312.963,7815.805
8,7272.541,223.765,336.514,7832.821
9,7264.154,222.987,338.200,7825.342
10,7205.666,241.771,335.511,7782.949
11,7280.459,224.687,319.029,7824.177
12,7271.674,203.561,327.135,7802.371
13,7294.490,242.287,324.346,7861.124
14,7309.447,221.340,315.354,7846.142
15,7264.871,225.660,319.921,7810.453
16,7280.178,215.377,332.264,7827.820
17,7278.102,221.383,334.593,7834.079
18,7304.238,238.265,319.675,7862.179
19,7217.504,238.872,341.638,7798.015
20,7289.124,212.076,334.113,7835.314
21,7301.365,232.539,331.519,7865.425
22,7308.191,228.201,319.691,7856.084
23,7274.601,196.038,331.392,7802.032
24,7262.501,237.698,328.264,7828.463
25,7289.579,237.137,328.626,7855.342
26,7323.560,213.976,334.033,7871.570
27,7309.074,197.819,324.226,7831.120
28,7282.817,221.850,341.235,7845.903
29,7284.197,216.151,326.765,7827.114
30,7231.512,232.845,316.605,7780.963
31,7279.234,216.501,321.367,7817.103
32,7206.431,224.549,326.733,7757.714
33,7226.359,236.434,318.196,7780.991
34,7288.748,200.306,330.591,7819.646
35,7265.185,228.720,316.982,7810.888
36,7262.882,219.766,329.629,7812.278
37,7276.229,216.240,339.863,7832.334
38,7291.709,235.047,356.239,7882.996
39,7307.574,230.084,311.821,7849.480
