i,rss_mib,cpu_pct
0,0.55,0.00
1,0.46,0.00
2,1.13,0.00
3,0.81,0.00
4,0.77,0.00
5,0.78,0.00
6,1.05,0.00
7,0.88,0.00
8,0.87,0.00
9,0.58,0.01
10,0.55,0.01
11,0.46,0.01
12,0.69,0.00
13,0.79,0.01
14,0.68,0.00
15,0.79,0.00
16,0.81,0.01
17,0.84,0.01
18,0.70,0.00
19,1.08,0.01
20,0.61,0.00
21,0.45,0.00
22,0.95,0.01
23,0.65,0.00
24,0.90,0.00
25,0.81,0.01
26,0.52,0.00
27,0.85,0.00
28,0.84,0.00
29,0.59,0.00
