conc,n,completed,errors,elapsed_s,rps
1,80,80,0,17.879,4.475
2,80,80,0,9.537,8.388
4,80,80,0,5.318,15.042
8,80,80,0,5.759,13.890
16,80,80,0,6.863,11.656
32,80,80,0,7.073,11.311
