conc,n,completed,errors,elapsed_s,rps
1,80,80,0,12.641,6.329
2,80,80,0,6.975,11.469
4,80,80,0,5.300,15.094
8,80,80,0,3.967,20.167
16,80,80,0,5.836,13.707
32,80,80,0,5.508,14.524
