conc,n,completed,errors,elapsed_s,rps
1,80,80,0,18.695,4.279
2,80,80,0,10.130,7.898
4,80,80,0,5.872,13.624
8,80,80,0,6.922,11.558
16,80,80,0,7.344,10.893
32,80,80,0,7.178,11.145
