conc,n,completed,errors,elapsed_s,rps
1,80,80,0,18.010,4.442
2,80,80,0,9.550,8.377
4,80,80,0,5.211,15.352
8,80,80,0,5.570,14.362
16,80,80,0,7.171,11.155
32,80,80,0,7.133,11.216
