i,rss_mib,cpu_pct
0,0.43,0.00
1,0.68,0.04
2,0.43,0.03
3,0.43,0.00
4,0.43,0.00
5,0.46,0.00
6,0.43,0.02
7,0.43,0.02
8,0.43,0.00
9,0.64,0.01
10,0.43,3.35
11,0.44,0.00
12,0.45,0.01
13,0.43,0.01
14,0.43,0.00
15,0.43,0.29
16,0.43,0.02
17,0.43,0.17
18,0.47,0.02
19,0.42,0.02
20,0.43,0.01
21,0.43,1.80
22,0.42,0.19
23,0.42,0.00
24,0.42,0.01
25,0.43,0.00
26,0.67,0.01
27,0.43,0.01
28,0.67,0.01
29,0.43,0.03
