conc,n,completed,errors,elapsed_s,rps
1,80,80,0,21.418,3.735
2,80,80,0,12.033,6.648
4,80,80,0,8.037,9.954
8,80,80,0,6.673,11.988
16,80,80,0,6.215,12.872
32,80,80,0,6.302,12.695
